,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
82,1217,Dublin,Local,L4022,0,1,1,2,53.307324,-6.319272,53.316289,-6.316935,1.11,New
83,1218,Dublin,Local,L3020,0,1,4,5,53.38531,-6.372425,53.392283,-6.383017,1.1,New
84,1219,Dublin,Local,L1015,0,2,2,4,53.330089,-6.398097,53.337892,-6.407036,1.09,New
85,1220,Dublin,Local,L2049,0,2,5,7,53.30271,-6.233425,53.299237,-6.219177,1.05,New
86,1221,Dublin,Local,L2065,0,2,0,2,53.447996,-6.204698,53.453578,-6.214087,1.04,New
87,1223,Dublin,Local,L2004,0,1,2,3,53.281344,-6.476368,53.283163,-6.462068,1.01,New
88,1224,Dublin,Local,L2047,0,1,2,3,53.209272,-6.132037,53.210627,-6.117137,1.01,New
89,1225,Dublin,Local,L6034,0,1,1,2,53.262536,-6.210222,53.269713,-6.211669,0.86,New
90,1226,Dublin,Local,L1026,0,1,5,6,53.323295,-6.395506,53.330089,-6.398097,0.82,New
91,1227,Dublin,Local,L7460,0,1,1,2,53.280313,-6.358605,53.282428,-6.348105,0.75,New
92,1229,Dublin,Local,L3003,0,1,4,5,53.289505,-6.402578,53.285612,-6.407661,0.56,New
93,1230,Dublin,Local,L3027,0,1,2,3,53.286174,-6.368393,53.285685,-6.375346,0.56,New
94,1232,Dublin,Local,L5690,0,1,1,2,53.339409,-6.43934,53.34035,-6.431794,0.53,New
95,1233,Dublin,Local,L1042,0,1,1,2,53.353781,-6.412077,53.353804,-6.40495,0.49,New
96,1235,Dublin,Local,L4006,0,1,2,3,53.31295,-6.358786,53.310412,-6.353529,0.45,New
97,1236,Dublin,Local,L1015,0,0,6,6,53.340968,-6.408024,53.341731,-6.413879,0.4,New
98,1237,Dublin,Local,L1002,1,0,3,4,53.322987,-6.424314,53.326051,-6.425506,0.4,New
99,1238,Dublin,Local,L2143,0,1,1,2,53.459531,-6.219098,53.460502,-6.21396,0.36,New
100,1239,Dublin,Local,L2002,0,2,1,3,53.284494,-6.454764,53.281985,-6.451898,0.35,New
101,1240,Dublin,Local,L1025,0,2,2,4,53.345028,-6.398326,53.347798,-6.397783,0.31,New
102,1241,Dublin,Regional,R101,0,2,21,23,53.348128,-6.295006,53.360776,-6.275115,2.35,New
103,1243,Dublin,Regional,R103,0,2,1,3,53.382686,-6.245112,53.378391,-6.229888,1.12,New
104,1245,Dublin,Regional,R103,0,1,9,10,53.390238,-6.275652,53.382984,-6.245817,2.18,New
105,1246,Dublin,Regional,R104,0,0,8,8,53.38947,-6.194243,53.391202,-6.172365,1.48,New
106,1247,Dublin,Regional,R104,0,2,7,9,53.391206,-6.170922,53.38516,-6.143524,2.01,New
107,1249,Dublin,Regional,R104,0,2,5,7,53.406484,-6.269251,53.406399,-6.299625,2.07,New
108,1253,Dublin,Regional,R105,0,2,5,7,53.367197,-6.216801,53.371224,-6.203606,1.02,New
109,1254,Dublin,Regional,R105,0,2,4,6,53.371723,-6.202516,53.378311,-6.182682,1.57,New
110,1255,Dublin,Regional,R105,0,1,2,3,53.378967,-6.180654,53.380572,-6.159873,1.44,New
111,1256,Dublin,Regional,R105,0,1,1,2,53.37966,-6.092766,53.384104,-6.10018,0.71,New
112,1257,Dublin,Regional,R105,0,1,6,7,53.38807,-6.127465,53.389449,-6.110258,1.16,New
113,1258,Dublin,Regional,R105,0,1,7,8,53.390717,-6.087509,53.388638,-6.071975,1.1,New
114,1259,Dublin,Regional,R106,0,2,8,10,53.41673,-6.140566,53.390746,-6.114323,3.5,New
115,1260,Dublin,Regional,R106,0,1,6,7,53.449416,-6.183241,53.454041,-6.210337,1.89,New
116,1264,Dublin,Regional,R108,0,3,30,33,53.343467,-6.275196,53.35014,-6.274538,0.79,New
117,1265,Dublin,Regional,R108,0,4,14,18,53.388937,-6.264775,53.367233,-6.27063,2.52,New
118,1267,Dublin,Regional,R108,0,2,14,16,53.391804,-6.264071,53.408349,-6.266286,1.87,New
119,1269,Dublin,Regional,R108,0,1,4,5,53.483552,-6.271082,53.498827,-6.26996,1.8,New
120,1271,Dublin,Regional,R109,1,2,14,17,53.347046,-6.317122,53.347584,-6.291067,1.76,New
121,1272,Dublin,Regional,R109,0,1,3,4,53.35081,-6.351661,53.3465,-6.333234,1.42,New
122,1275,Dublin,Regional,R110,0,3,30,33,53.33396,-6.290719,53.337614,-6.265797,1.95,New
123,1276,Dublin,Regional,R110,0,3,14,17,53.336158,-6.257266,53.337598,-6.265745,0.6,New
124,1278,Dublin,Regional,R112,0,2,2,4,53.292947,-6.245335,53.291553,-6.236689,0.63,New
125,1279,Dublin,Regional,R112,0,5,6,11,53.303304,-6.310972,53.300545,-6.287307,1.82,New
126,1281,Dublin,Regional,R112,0,1,12,13,53.299734,-6.261391,53.293331,-6.246519,1.37,New
127,1282,Dublin,Regional,R112,0,1,2,3,53.303981,-6.278596,53.302306,-6.266502,0.84,New
128,1283,Dublin,Regional,R112,1,2,19,22,53.316587,-6.332594,53.306194,-6.32011,1.43,New
129,1285,Dublin,Regional,R112,0,1,1,2,53.346495,-6.352004,53.342567,-6.348884,0.49,New
130,1286,Dublin,Regional,R113,0,0,6,6,53.273006,-6.200131,53.277556,-6.186297,1.08,New
131,1287,Dublin,Regional,R113,0,2,11,13,53.273499,-6.259848,53.282068,-6.296999,2.8,New
132,1288,Dublin,Regional,R113,0,1,6,7,53.276937,-6.32813,53.279522,-6.317178,0.79,New
133,1289,Dublin,Regional,R113,0,2,5,7,53.279516,-6.183679,53.291406,-6.171467,1.59,New
134,1290,Dublin,Regional,R113,0,1,13,14,53.286215,-6.361699,53.275318,-6.344791,1.99,New
135,1291,Dublin,Regional,R113,0,1,8,9,53.332083,-6.406587,53.348142,-6.405587,1.81,New
136,1292,Dublin,Regional,R114,0,1,5,6,53.280804,-6.344228,53.287941,-6.326264,1.47,New
137,1293,Dublin,Regional,R114,0,2,2,4,53.294314,-6.303231,53.297878,-6.28673,1.19,New
138,1295,Dublin,Regional,R114,0,2,16,18,53.333872,-6.265195,53.337783,-6.265855,0.44,New
139,1296,Dublin,Regional,R114,0,5,35,40,53.337783,-6.265855,53.344178,-6.264451,0.73,New
140,1298,Dublin,Regional,R115,0,1,4,5,53.282217,-6.297338,53.288168,-6.291097,0.79,New
141,1299,Dublin,Regional,R116,0,1,1,2,53.235592,-6.193524,53.232871,-6.199448,0.79,New
142,1300,Dublin,Regional,R117,0,3,15,18,53.268611,-6.229243,53.291367,-6.245667,2.92,New
143,1301,Dublin,Regional,R117,0,0,11,11,53.307367,-6.246345,53.292739,-6.246345,1.65,New
144,1302,Dublin,Regional,R117,0,3,19,22,53.332418,-6.263018,53.313099,-6.247058,2.85,New
145,1303,Dublin,Regional,R118,0,2,6,8,53.289529,-6.129756,53.289535,-6.129546,1.53,New
146,1305,Dublin,Regional,R118,0,6,36,42,53.322436,-6.218298,53.341765,-6.252578,3.24,New
147,1306,Dublin,Regional,R118,0,0,7,7,53.343693,-6.249561,53.342151,-6.2505,0.18,New
148,1307,Dublin,Regional,R118,0,1,8,9,53.344172,-6.249587,53.345611,-6.257516,0.55,New
149,1308,Dublin,Regional,R119,1,1,6,8,53.233303,-6.123667,53.244386,-6.121335,1.27,New
150,1309,Dublin,Regional,R119,1,1,0,2,53.275711,-6.100399,53.278077,-6.106968,0.55,New
151,1310,Dublin,Regional,R119,0,1,2,3,53.28569,-6.113047,53.287805,-6.125867,0.91,New
152,1311,Dublin,Regional,R120,1,0,2,3,53.326218,-6.457059,53.334943,-6.454122,1.01,New
153,1312,Dublin,Regional,R121,0,1,8,9,53.357294,-6.449796,53.377064,-6.439811,2.98,New
154,1313,Dublin,Regional,R121,0,0,6,6,53.38625,-6.402061,53.393526,-6.398195,0.85,New
